Tweet,Sentiment,Emotion 1,Emotion 2,Emotion 3,1st Most Prominent Emotion Present in position,2nd Most Prominent Emotion Present in position,3rd Most Prominent Emotion Present in position,Sentiment Accuracy
91 yr #Dutch man who saved #Jewish #child from #Nazi's returns Medal after #Israel bombs and kills 6 relatives #Gaza   http://t.co/kBerxRTpAc,Slightly Positive,Trust,Fear,Disgust,,,,
Israel Braces for War Crimes Inquiries on Gaza http://t.co/TIPT8X3CbB,Slightly Negative,Fear,Joy,Joy,,,,
"Israel hates beauty. My in-laws' house. 1 of most beautiful Houses in Gaza(that's my Ahmed, left)",Positive,Joy,Joy,Joy,,,,
Israel Assassin #Canada Complice Boycott #apartheid boycott #Israel #Montréal #manifencours pour la #Palestine http://t.co/tJxfZ9g6Bu #QC,Negative,Sadness,Anger,Disgust,,,,
"Again and again and again, Palestinians in west Gaza city report Israeli gunboats occasionally opening fire at Gaza beach #watchisrael",Neutral,Joy,Fear,Joy,,,,
"Tahukah anda, selain McD rokok juga perlu diboikot. 12% drpd hasil jualan rokok adalah milik Israel. #KhutbahJumaat",Neutral,Joy,Joy,Joy,,,,
#Turkish human rights organizations and activists send a fleet to challenge #Israel blockade on #Gaza?#Turkey  http://t.co/yTU9V4jjou,Slightly Negative,Fear,Anger,Sadness,,,,
So @BarclaysOnline @Barclays you manage investments in a company whose drones bomb Gaza. How much money do you need? http://t.co/DHmFwrhcDz,Slightly Negative,Sadness,Disgust,Anger,,,,
"If the rockets stop, quiet can come tomorrow. The Bizarre Moral Criticism Against Israel http://t.co/6qmWK1Ou0N via @TIMEIdeas",Slightly Negative,Anger,Trust,Surprise,,,,
"Yesterday, I went to Gaza's graveyard to visit my grandma's grave. I didn't find it. It was hit by a missile. I saw my grandma's bones.",Neutral,Joy,Joy,Joy,,,,
Further images from the wedding of Omar and Hiba that took place against all odds at a UN shelter on 13th Aug #Gaza http://t.co/RZd3sGNuiD,Slightly Positive,Trust,Joy,Joy,,,,
RT @GaeMar01: What Israel has targeted so far in #Gaza. via @UNOSAT  http://t.co/dg9I4DpOg1,Neutral,Joy,Joy,Joy,,,,
"@injjusstice: More than 80% of the people of Gaza live under $1 a day, while the average Israeli makes $25,000 a year.",Neutral,Joy,Joy,Joy,,,,
Strong letter by Palestinian rights @AlMezanCenter slams @Rudoren article on casualties of Israel's #Gaza offensive http://t.co/omJRbTeAQ4,Slightly Positive,Trust,Disgust,Anger,,,,
"100,000's of Palestinians with no where to go, a constant struggle to live. #Gaza http://t.co/aF5O6bLyQq",Slightly Positive,Trust,Fear,Sadness,,,,
He was injured until he screamed from to much pain then died. Suliman Daher the martyr kid in Gaza...,Slightly Negative,Fear,Sadness,Joy,,,,
Meet the 'neutral' UN Human Rights referee who will investigate Israel's 'crimes'. http://t.co/YutbvBVOyJ @Commentary http://t.co/OUMYlXgOZH,Slightly Positive,Trust,Anticipation,Joy,,,,
Palestinians from #GAZA identify w/the ppl of #Ferguson and #AfricanAmericans struggle for #humanrights @FergusonUnity http://t.co/rx8i7KSNI0,Slightly Negative,Fear,Sadness,Anger,,,,
"Palestine, 1920s http://t.co/90EOet58iy",Neutral,Joy,Joy,Joy,,,,
I will never understand that argument that Palestinians didn't exist.. so you thought all the infrastructure of Palestine was just there,Slightly Positive,Anticipation,Joy,Joy,,,,
A brief history of ZIONISM in palestine for malaysian http://t.co/v4msqBcNop,Neutral,Joy,Joy,Joy,,,,
"MT @redbrasco So Israel is a threat! http://t.co/1twQOYUPcf @TexasWench || In point of fact, much like Truth, ONE JEW is a threat to #Islam.",Neutral,Trust,Fear,Anger,,,,
Israel is real terrosist! http://t.co/9wgCnFKGyL,Slightly Positive,Trust,Joy,Joy,,,,
"Stop the killing in Gaza, I want world peace!",Neutral,Joy,Trust,Fear,,,,
"Truce deal between Palestinians and #Israel almost has achieved but need approval by factions and PA, well informed source said. #Gaza",Positive,Joy,Trust,Surprise,,,,
Israel shall rot in hell.. what the hell is this ????? #FreePalestine  https://t.co/dZPHI4rs83,Negative,Fear,Sadness,Disgust,,,,
Israel kills children,Negative,Fear,Disgust,Joy,,,,
#SOSPalestina #GazAmor,Neutral,Joy,Joy,Joy,,,,
The dark circles represent massacres on Palestinians in #Gaza Strip. The map shows areas bombed in 5 weeks of attacks http://t.co/gC8QoRBcJe,Slightly Positive,Disgust,Joy,Joy,,,,
Here's the response of @BBCNews to Amnesty evidence of Israeli attacks on medics in #Gaza. http://t.co/23Et2m7t1M http://t.co/MfIpsaAgqn,Slightly Positive,Joy,Joy,Joy,,,,
The biggest and only paper factory in #Gaza completely destroyed by Israeli warplanes #ICC4Israel #WarCrime @GazaLive24 http://t.co/x7Sf77ujT4,Slightly Positive,Fear,Sadness,Anger,,,,
Israel to pay students to defend it online - Nouvelles d’Orient (alaingresh) http://t.co/XcjgKwANqW,Slightly Positive,Joy,Trust,Fear,,,,
"Fired professor voiced ""legitimate outrage"" over Gaza attack, say University of Illinois colleagues http://t.co/40ls9WcHVQ via @intifada",Slightly Positive,Anger,Disgust,Trust,,,,
"‘Israel, US must face war crime charges’ http://t.co/77J4ZiEe4g via @PressTV",Slightly Negative,Fear,Anger,Joy,,,,
"The fact Gaza tweeting to the people in Ferguson how to stop tear gas and Ferguson crowd chanting ""Free Gaza"" is amazing",Neutral,Trust,Joy,Joy,,,,
Israel to pay students to defend it online http://t.co/nEgzSr7FHj,Slightly Positive,Joy,Trust,Fear,,,,
One creature who understand the dawn light it's birds - Good Morning All :-)),Positive,Joy,Trust,Surprise,,,,
"Hula Valley, #ISRAEL http://t.co/Jguuj3XQtE",Neutral,Joy,Joy,Joy,,,,
Thank you #Japan,Slightly Positive,Joy,Anticipation,Joy,,,,
"Meet a humanitarian worker in #Gaza, working on the front lines: http://t.co/oHRPgtBf72  #HumanitarianHeroes http://t.co/YQj4W4ReCp",Positive,Joy,Trust,Surprise,,,,
Well said grandma #Gaza #FreePalestine http://t.co/S77cfu9Cz4,Neutral,Joy,Joy,Joy,,,,
The story as never told before ,Neutral,Joy,Joy,Joy,,,,
Deputy State Department spokesperson Marie Harf: Supply of arms to Israel to continue http://t.co/VW8abxUNAo http://t.co/T2n9TMUaL2,Positive,Trust,Anticipation,Joy,,,,
"Israel sasar Malaysia ? takot jugak tapi kalau dah qada qadar Allah , kena redha , kita dah banyak sangat berseronok di dunia",Neutral,Joy,Joy,Joy,,,,
#Gaza agriculture devastated by Israeli offense – UN http://t.co/EahnSauQcu http://t.co/C8GQ0wbm4n,Negative,Sadness,Anger,Fear,,,,
#Gaza Resists ..,Neutral,Joy,Joy,Joy,,,,
"The people of the UK stand with  palestine, today was brilliant!  #FreePalestine #FreeGaza #istandwithpalestine http://t.co/nCSzlIHh7K",Neutral,Joy,Joy,Joy,,,,
My plea to the people of Israel : Liberate yourselves by liberating Archbishop Emeritus Desmond… http://t.co/EpZ1wn63Vc,Slightly Positive,Anticipation,Joy,Trust,,,,
women killing children Only in Israel ...  http://t.co/YI9LBsOaSM,Slightly Negative,Fear,Sadness,Anger,,,,
IDF: Iron Dome intercepted 90% of #Gaza rockets - http://t.co/TvsJVXpDv1,Slightly Positive,Trust,Joy,Joy,,,,
Calls to have Jewish student revoked of his academic honors after he shows opposition to Israeli slaughter in Gaza http://t.co/0Yh6IWgcnH,Negative,Anger,Trust,Fear,,,,
"Israeli soldier on #Gaza civilians: ""They are all Hamas"" http://t.co/xcbjJS9y1r @sheeraf | @BuzzFeed http://t.co/qyZshs3D1m",Slightly Positive,Sadness,Anger,Joy,,,,
Einstein pernah melayangkan surat terbuka kpd The New York Times ttg kemuakannya thdp Israel http://t.co/qOWaRbahhJ http://t.co/qPh15ghB6X,Neutral,Joy,Joy,Joy,,,,
"St. Louis County Police Chief, in 2011, on visiting Israel to learn about police tactics from the Israelis  https://t.co/aYaqRcud3A",Positive,Trust,Fear,Joy,,,,
Promise with Abraham and Salvation through Moses,Positive,Joy,Trust,Anticipation,,,,
.@elizsim1 @Wild_Phil The whole world will die without Israel.,Slightly Negative,Fear,Sadness,Joy,,,,
"Israeli soldier spotted laughing and drinking in Jerusalem bar wearing 'Deployed,DestroyedandEnjoyed Gaza 2014' T-shirt http://t.co/8lcFdag8u3",Slightly Positive,Joy,Sadness,Anger,,,,
U.S. halts missile transfer requested by Israel - Wall Street Journal reports supply of Hellfire… http://t.co/xhmdoBtns3,Slightly Positive,Fear,Joy,Joy,,,,
Congratulations4an inspiring #ModiSpeech @PMOIndia.I am honored 2represent  #Israel in #India.Happy #IndependenceDay http://t.co/LegYHmD6lc,Slightly Positive,Joy,Trust,Joy,,,,
This is what rationality looks like. @SamHarrisOrg and @SullyDish talk: http://t.co/zvamrOomiS http://t.co/1sgTQkgDXE,Slightly Positive,Joy,Joy,Joy,,,,
Got Palestine cup cakes made for Charity :) ,Positive,Joy,Joy,Joy,,,,
Israel acusado de utilizar armas prohibidas en Gaza http://t.co/l5FjsDFHEZ vía @bouleusis,Neutral,Joy,Joy,Joy,,,,
"Photo taken by @FroGoddess ""thanks for the advice #Palestine"" - #Ferguson #STL #MikeBrown http://t.co/USKvlrtlst",Slightly Positive,Joy,Anticipation,Trust,,,,
"Various types of unexploded missiles have been dropped in #Gaza, including explosive barrels. #ICC4Israel http://t.co/l2wYIeFjim",Neutral,Fear,Surprise,Anger,,,,
"Eduardo Galeano: Ya poca Palestina queda. Paso a paso, Israel la está borrando del mapa http://t.co/aWqdFbsByP",Neutral,Joy,Joy,Joy,,,,
5/Salah satu program gerakan kemanusiaan #MajelisInspirasi @AkhwatBergerak sdg bekerja utk #Gaza dg fokus pd #DonasiPersalinan1000IbuGaza,Neutral,Joy,Joy,Joy,,,,
"COLONIZERS ,heartless racists,criminals,and they enjoy it . ",Negative,Anger,Joy,Trust,,,,
#LatinAmerica response to #Gaza massacre: almost every country recalled its ambassador from #Israel/cut ties/condemn http://t.co/akYTaQ6FzV,Slightly Positive,Trust,Fear,Sadness,,,,
"Hezbollah Leader, Nasrallah: #Israel is a Cancer and the Ultimate Goal should be to Remove it http://t.co/p6SJ6W9sfz http://t.co/iEGm2Kebk9",Slightly Negative,Sadness,Fear,Anger,,,,
"Washington DC Obama Denies Halting Weapons Delivery to Israel “Let Me Be Clear: There is No Change in Policy, Period�?. http://t.co/sCysYCvSq5",Slightly Negative,Fear,Trust,Sadness,,,,
"En Chile, hasta el Colegio de Psicólogos se pronuncia sobre Gaza. http://t.co/LcrlOxnI0S",Neutral,Joy,Joy,Joy,,,,
"150,000 people on #CapeTown for a protest #Humanity #Palestine #Gaza #ISupportGaza   #IStandWithPalestine http://t.co/nSZSdvhl9V",Slightly Positive,Joy,Trust,Anger,,,,
"Stop the killing in Gaza, I want world peace!",Neutral,Joy,Trust,Fear,,,,
#Gaza agriculture devastated by Israeli offense #UN http://t.co/dnF9T66Pjh @MohammedNZiara,Negative,Sadness,Anger,Fear,,,,
"Dear Israel: You don't get to murder, dispossess and steal without repercussions. More and more around the world are waking up and taking action",Slightly Positive,Joy,Joy,Joy,,,,
Wondering why the excessive police violence? Here's a guess: #Ferguson police chief got training in Israel... #Gaza https://t.co/RxEznr8cGP,Slightly Positive,Trust,Fear,Surprise,,,,
Israel nuke Gaza's fish market three minutes into ceasefire. Then nuke it again just to make sure. ,Neutral,Joy,Joy,Joy,,,,
"Khuza'a used to be a pleasant, tiny town in #Gaza. It has been shelled and bombed to ruins over the past five weeks. http://t.co/CC8tl0Q5pV",Slightly Positive,Disgust,Joy,Joy,,,,
"Evidence collected so far about casualties in #Gaza contradicts claims that the IDF attacks were ""indiscriminate"" http://t.co/eRLSW5Wi70",Neutral,Joy,Joy,Joy,,,,
Fuck Israel.,Negative,Anger,Joy,Joy,,,,
"RT if, like us, you believe no-one should have to live under conditions like those imposed by the #Gaza blockade. http://t.co/jcoO3OGktK",Neutral,Anger,Fear,Sadness,,,,
A palestinian child express his feelings about the siege in gaza #FreePalestine  https://t.co/wde8KblbWp,Slightly Positive,Joy,Anticipation,Joy,,,,
Part 1 of the video. Israel terrorizes the Palestinian people everyday to try and get them to move out of t... https://t.co/RTPDEATaDZ,Negative,Fear,Joy,Joy,,,,
Stop the killing of innocent children!,Neutral,Trust,Fear,Sadness,,,,
"Activists in London put themselves in closed boxes expression of their rejection of the siege on #Gaza ""much respect"" http://t.co/UPleOznavw",Slightly Positive,Joy,Trust,Anticipation,,,,
Deberían cambiarle el nombre a varias zonas del país por Gaza a ver si el gobierno mete la mano y reconstruye.,Neutral,Joy,Joy,Joy,,,,
The ceasefire in #Gaza is holding - just - but the devastation remains http://t.co/pHfYoqV5wo #Israel #News #Palestine #WorldNews,Negative,Sadness,Anger,Trust,,,,
Anti-war protesters in Israel are feeling threatened by pro-war mobs: http://t.co/ITzoqYXRrS http://t.co/Be7pgOW29O,Negative,Fear,Anger,Joy,,,,
"Full-Page Ads Denouncing Head of UN Gaza Probe to Run in NYT, WSJ, WaPo, Guardian: JERUSALEM — This World: The... http://t.co/6MArTosSR8",Slightly Positive,Trust,Joy,Joy,,,,
"Washington – Obama Halted a Shipment of Hellfire Missiles to Israel during Gaza War, to Punish Bibi for No Ceasefire. http://t.co/l7gYMTasBK",Slightly Negative,Fear,Joy,Joy,,,,
Ondertussen in #Gaza http://t.co/gkzn8aiWBC,Neutral,Joy,Joy,Joy,,,,
RT@178kakapo @fcardoza696 There's almost no electricity and water in #Gaza. It has caused #serious_hygienic problems,Slightly Negative,Fear,Joy,Joy,,,,
Dutch man who saved Jewish child from Nazi tyranny returns medal after six relatives killed in Gaza http://t.co/aWVk7jTs13,Slightly Negative,Fear,Trust,Sadness,,,,
"131. Mohammad Ahmed Bassal, 19, killed in Gaza. #Gaza #FreePalestine",Neutral,Joy,Joy,Joy,,,,
"6/Peradaban di bangun oleh para manusia yg memimpin dunia, termasuk anak2 kita di #Gaza yg puluhan thn tangguh berjuang! Cc @AkhwatBergerak",Neutral,Joy,Joy,Joy,,,,
@Farah_Gazan Could you PLEASE get people to support the official account of our project @SGPWorldwide and help us make a difference in gaza,Neutral,Trust,Disgust,Joy,,,,
150 people squeeze into tiny boxes opposite Parliament to protest Gaza blockade http://t.co/MDmRDkmvyZ http://t.co/7RPL5oZIUU,Slightly Negative,Anger,Trust,Fear,,,,
Head of #Gaza bomb squad is killed. 1000's of Israeli munitions remain  http://t.co/4xRnZwmp5N #ICC4Israel http://t.co/abY0V47EyY,Neutral,Joy,Joy,Joy,,,,
"Free Palestine Free Palestine ima say it one more time, Free Palestine !!!!",Neutral,Anticipation,Joy,Joy,,,,
"Palestinian teen literally wailing over the death of his father killed by #ISRAEL stand up for Palestine, S... https://t.co/J8285CJVfl",Negative,Fear,Disgust,Trust,,,,
Miracle: Rocket From Gaza Slams Israeli House No One Hurt [PICTURE] http://t.co/k3EO6LM0tW #tcot #tlot,Positive,Anger,Sadness,Joy,,,,
"Israel destroy Gaza's Crazy Water Park. http://t.co/MXZjVKTaGF Oh wait, that was Hamas because Islam hates fun.",Negative,Anger,Anticipation,Joy,,,,
@alliahgatorr I get pretty offended when people think im Egyptian id rather be from Israel,Neutral,Joy,Trust,Sadness,,,,
Refusal by Israel to lift the illegal siege. This is #Gaza. #ICC4Israel http://t.co/uILIxsXZhr,Neutral,Joy,Joy,Joy,,,,
Get unite against Israel ,Neutral,Joy,Joy,Joy,,,,
Hamas continues to assert that it will not make an agreement that doesn't meet its demands. Isn't a central demand Israel's destruction?,Neutral,Anger,Joy,Joy,,,,
"Photo taken by @FroGoddess ""thanks for the advice #Palestine"" - #Ferguson #STL #MikeBrown http://t.co/UkfKu2Zzdl",Slightly Positive,Joy,Anticipation,Trust,,,,
"Head of Gaza bomb squad killed as 1,000 tons of Israeli munitions remain http://t.co/bVLTRotlGn  via @intifada",Negative,Fear,Disgust,Surprise,,,,
"If you think first the benefit of its own country, peace will not come!",Slightly Positive,Joy,Trust,Anticipation,,,,
"Israel: 32.000 obuses sobre Gaza. Investigan los bombardeos de saturación en Rafah y Shiyaiya, densamente pobladas. http://t.co/KfHQrfnLCF",Neutral,Joy,Joy,Joy,,,,
"#EU Foreign Ministers are expected to discuss situation in #Ukraine, #Iraq, #Gaza, #Libya tomorrow: http://t.co/SNjLqayt0i #FAC",Slightly Negative,Anticipation,Joy,Joy,,,,
#Freepalestine an An activist was  peacefully protesting against the genocide in Gaza and he got hit in the... https://t.co/VkXk1TnYL6,Slightly Positive,Trust,Anger,Fear,,,,
The Gaza Everywhere app puts  scale of humanitarian crisis in perspective  http://t.co/wT0JOnlGCP http://t.co/DCTxwYd00p,Positive,Joy,Trust,Surprise,,,,
"Once again, #Hamas fired at the Kerem Shalom crossing, preventing humanitarian aid from reaching the people of #Gaza. http://t.co/dO4NZMqOX7",Positive,Anticipation,Joy,Trust,,,,
When we take the time to care about the happiness and freedom of others we have a greater sense of our own self #Gaza http://t.co/XOlNYkVAWh,Very Positive,Joy,Anticipation,Trust,,,,
Hamas' very basic requests to Israel in #Gaza via  @sambarnet  http://t.co/JjgwOAWqSw  #IsraelExposed,Neutral,Joy,Joy,Joy,,,,
"'Entre otros objetivos, Israel quiere apoderarse del gas palestino' http://t.co/BJ0RfBHI9N vía @bouleusis",Neutral,Joy,Joy,Joy,,,,
"Orang Gaza mati kau tak ambik tahu pon . Neymar injured semua risau -,- ",Negative,Fear,Sadness,Joy,,,,
"9/Saat ini, lebih 40.000 ibu di #Gaza sdg mengandung di tengah perang yg berkecamuk. #DonasiPersalinan1000IbuGaza cc @AkhwatBergerak",Neutral,Joy,Joy,Joy,,,,
"#Israeli propaganda myths debunked by @alaingabon http://t.co/4hmxEKnztk via @Turkey_Agenda #Gaza""",Slightly Negative,Joy,Joy,Joy,,,,
Displaced Childhood in gaza washing clothing in a UN shelter in Rafah ! #ICC4Israel #GazaCrisis #gaza #BoycottIsrael http://t.co/mYzvLsQv19,Neutral,Joy,Joy,Joy,,,,
Hamas talks of 'real chance' for Gaza agreement with Israel http://t.co/8gOsQmAb5J,Positive,Trust,Surprise,Joy,,,,
"Israel bomb the mosque, two seconds into the ceasefire. During kiddy hour. #Pallywood http://t.co/xLxJ7A5WHk",Neutral,Joy,Joy,Joy,,,,
"Stop all foreign aid except to #Israel now, they actually like us. That's your money. #tcot http://t.co/6ybhLt4Caj",Slightly Negative,Sadness,Disgust,Anger,,,,
"When I'm alone and need someone to support me, no one comes to help me except Allah #Gaza",Negative,Disgust,Fear,Joy,,,,
"Reema one of the children injured during Israel's aggression,the look in her eyes sums it up. #ICC4Israel #GazaCrisis http://t.co/Hm5TIKReI5",Neutral,Joy,Joy,Joy,,,,
Gaza agriculture devastated by Israeli offense UN http://t.co/j21FaTKspy #RT #Worldnews,Negative,Sadness,Anger,Fear,,,,
"#Jerusalem Shufat, home of Mohammad Abu Khdeir who was killed by #Israel , collecting aid for #Gaza #GazaUnderAttack http://t.co/6TTWx1RTyQ",Slightly Negative,Fear,Disgust,Joy,,,,
"#Ferguson says: 'Thanks for the advice, #Palestine' https://t.co/FSulLdBwgX Here's to Peace the World Over! @GlobalRevLive @YourAnonNews",Positive,Joy,Anticipation,Trust,,,,
Miracle: Rocket From Gaza Slams Israeli House No One Hurt [PICTURE] http://t.co/6hzvTViJmO #tcot #tlot,Positive,Anger,Sadness,Joy,,,,
Arab bank is in court for accusations of funding Hamas. How about USA funding Israel's war crimes?,Slightly Positive,Anger,Joy,Joy,,,,
"how can this be my america? you mean the america that gives israel 225 billion to kill brown kids, and not letting detroit have water?",Slightly Negative,Fear,Sadness,Joy,,,,
"http://t.co/B5XPM5KUQF OMG I do my best to save animals, but when I see Killing of children MY HEART STOPS DEAD.stop the war #Gaza",Very Positive,Trust,Fear,Sadness,,,,
"#Uganda condemns #Israeli #Gaza strikes, calls for ""immediate and unconditional cessation of Israeli.. aggression"" http://t.co/CcDQafp26h",Slightly Negative,Fear,Anger,Joy,,,,
"Israel has bombed ""dozens of homes w/ families in them"" and ""made [no attempt] to explain the high civilian death toll"" http://t.co/Jp9DiTrb6j",Slightly Positive,Disgust,Anticipation,Trust,,,,
Hamde Abu tells #Ferguson that #Palestine knows what it means to be shot for your ethnicity http://t.co/56aKRQHZnI,Slightly Positive,Sadness,Anger,Anticipation,,,,
VIDEO: Keeping the lights on in Gaza http://t.co/99QKtEnTPu,Neutral,Joy,Joy,Joy,,,,
#Gaza Before and After .. you can see what happened there !!,Neutral,Joy,Joy,Joy,,,,
Israel Has The RIGHT To Exist.  Period.,Neutral,Joy,Joy,Joy,,,,
Wish people would stop getting involved in the Israel/Palestine thing. Kids die of abuse here every day. They couldn't give a fuck about us.,Positive,Anger,Joy,Joy,,,,
"This is Israel's true intentions , do you still think the #Zionist want peace or a two state solution?? #ICC4Israel http://t.co/fWqST96Ouu",Positive,Joy,Trust,Anticipation,,,,
Many Palestinians have been expressing empathy for and solidarity w/ protesters in #Ferguson. HT @thecrisismag #Gaza http://t.co/NFSxUnPoVI,Neutral,Joy,Joy,Joy,,,,
Netanyahu suggests UN shouldn't investigate #Israel war crimes because Syria (which UN is investigating) is worse. http://t.co/HVMGgmKLqd,Negative,Fear,Sadness,Joy,,,,
Appeasement is a disease in the West. It was in 1930s. It is now. Selling out #Israel to #Islamist fascism is wrong. Fight #ISIS now.,Slightly Negative,Fear,Anger,Joy,,,,
"Tel-Aviv Rally asks World 2 imagine living under Daily Missile attacks, urges end 2 Hamas War http://t.co/EbPV7gg5Tp http://t.co/UZqPVq71h1",Slightly Negative,Fear,Anticipation,Joy,,,,
